Index,Slice,Sub,For,UnaryOp,Exec,Invert,DictComp,Param,BitXor,Add,NotIn,Call,comprehension,IsNot,Print,Ellipsis,Subscript,BitOr,TryExcept,Store,Raise,Break,Return,GtE,Assert,Tuple,Repr,Or,ExceptHandler,BitAnd,FloorDiv,arguments,TryFinally,GeneratorExp,Not,UAdd,Delete,With,IfExp,Mult,Mod,BoolOp,RShift,Name,BinOp,Expr,SetComp,AugAssign,List,ClassDef,Yield,Set,While,Continue,Del,Str,USub,Div,Assign,FunctionDef,Lambda,And,ExtSlice,Compare,Gt,keyword,In,NotEq,Attribute,Is,Global,Lt,Module,Num,LtE,Pass,Dict,If,Eq,ListComp,LShift,Pow,LOC,Experience
0.010605-0.013005,0.00151-0.001823,0.001497-0.002021,0.001371-0.002201,0.002879-0.003363,ninf-0.000002,ninf-0.000001,0.000132-0.000158,0.019736-0.022617,ninf-0.000001,0.007777-0.010607,0.000419-0.0005,0.093905-0.100964,0.001887-0.00404,ninf-0.000009,0.004248-0.007282,ninf-0.000011,0.012003-0.014775,ninf-0.000002,0.002928-0.004392,0.062247-0.06628,ninf-0.000029,0.000578-0.00076,0.004124-0.005893,ninf-0.000003,ninf-0.000011,0.003461-0.00514,ninf-0.000003,0.000336-0.000623,0.003007-0.004876,ninf-0.000003,0.000128-0.000216,0.013151-0.015069,ninf-0.000005,ninf-0.000004,0.002777-0.003174,ninf-0.000001,0.00081-1,0.00036-0.000653,0.00098-0.002126,0.00212-0.004063,0.003568-0.004564,0.000784-0.001456,ninf-0.000002,0.260055-0.277944,0.015629-0.019585,0.040081-0.048113,ninf-0.000012,0.000626-0.000852,0.00262-0.003706,0.002313-0.00276,ninf-0.000004,ninf-0.000006,0.00071-0.001047,0.000222-0.000323,0.000871-1,0.074667-0.081394,ninf-0.000002,0.00083-0.001238,0.054657-0.060382,0.012774-0.014738,ninf-0.000008,0.000529-0.000933,ninf-0,0.010795-0.012426,0.001603-0.00289,0.00649-0.008623,0.001435-0.001766,0.000779-0.000927,0.12952-0.143832,ninf-0.000026,ninf-0.000002,0.000874-0.001251,0.001739-0.002091,0.032538-0.045905,ninf-0.000003,0.001161-0.001576,0.003036-0.003845,0.01512-0.017015,0.004235-0.005407,0.001534-0.003501,ninf-0.000003,ninf-0.000004,912-1513,1
ninf-0.001469,ninf-0.000017,ninf-0.000029,ninf-0.000075,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,ninf-0.004754,ninf-0.000001,ninf-0.000163,ninf-0.000015,ninf-0.053928,ninf-0.000018,ninf-0.000009,ninf-0.000004,ninf-0.000011,ninf-0.001655,ninf-0.000002,ninf-0.000024,0.086378-1,ninf-0.000029,ninf-0.000002,ninf-0.000426,ninf-0.000003,ninf-0.000011,ninf-0.000405,ninf-0.000003,ninf-0.00003,ninf-0.000024,ninf-0.000003,ninf-0.000001,ninf-0.005025,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,ninf-0.000037,ninf-0.000061,ninf-0.000002,ninf-0.231679,ninf-0.001314,0.016505-0.021139,ninf-0.000012,ninf-0.00003,0.015281-1,ninf-0.000065,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.149165-1,ninf-0.000002,ninf-0.000006,0.071768-1,ninf-0.004927,ninf-0.000008,ninf-0.000033,ninf-0,ninf-0.002703,ninf-0.00002,0.033022-1,ninf-0.000059,ninf-0.000033,ninf-0.04689,ninf-0.000026,ninf-0.000002,ninf-0.00002,0.008368-1,ninf-0.006671,ninf-0.000003,ninf-0.000041,ninf-0.000156,ninf-0.003641,ninf-0.000418,ninf-0.000018,ninf-0.000003,ninf-0.000004,ninf-44.5,2
0.016557-0.0204,ninf-0.000017,ninf-0.000029,0.008847-1,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.034283-0.040696,ninf-0.000001,0.004471-0.006005,ninf-0.000015,0.07328-0.078307,0.00404-1,ninf-0.000009,0.013213-1,ninf-0.000011,0.014775-0.018124,ninf-0.000002,ninf-0.000024,0.071344-0.079078,0.004104-1,ninf-0.000002,0.000426-0.004124,ninf-0.000003,ninf-0.000011,0.000405-0.003461,ninf-0.000003,ninf-0.00003,ninf-0.000024,ninf-0.000003,ninf-0.000001,0.021592-0.026004,ninf-0.000005,0.00073-0.000952,ninf-0.000059,ninf-0.000001,ninf-0.000004,0.000922-0.001339,ninf-0.000003,ninf-0.00001,0.000895-0.001731,ninf-0.000061,ninf-0.000002,0.308398-0.316505,0.004263-0.007212,0.032278-0.03717,ninf-0.000012,ninf-0.00003,0.006202-0.007466,0.000065-0.001094,0.000833-0.001251,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.115939-0.149165,ninf-0.000002,ninf-0.000006,0.051345-0.054657,0.024917-1,ninf-0.000008,ninf-0.000033,ninf-0,0.007773-0.008848,ninf-0.00002,0.022799-0.033022,0.003986-1,0.000779-0.000927,ninf-0.04689,0.001537-0.001857,ninf-0.000002,ninf-0.00002,0.005271-0.008368,ninf-0.006671,ninf-0.000003,0.002327-1,0.00236-0.003036,0.013741-0.01512,0.000418-0.001765,0.003501-1,ninf-0.000003,ninf-0.000004,182.5-396,3
0.001469-0.005604,0.003509-1,ninf-0.000029,ninf-0.000075,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.004754-0.012599,ninf-0.000001,0.010607-0.019579,ninf-0.000015,0.106917-1,ninf-0.000018,ninf-0.000009,0.007282-0.013213,ninf-0.000011,0.006521-0.008955,ninf-0.000002,0.001082-0.001335,ninf-0.039312,ninf-0.000029,ninf-0.000002,0.000426-0.004124,ninf-0.000003,ninf-0.000011,0.000405-0.003461,ninf-0.000003,ninf-0.00003,0.001082-0.001419,ninf-0.000003,ninf-0.000001,0.005025-0.008199,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,ninf-0.000037,ninf-0.000061,ninf-0.000002,0.231679-0.260055,0.012911-0.015629,0.048113-1,ninf-0.000012,ninf-0.00003,ninf-0.000317,0.001094-0.001772,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.149165-1,ninf-0.000002,ninf-0.000006,0.031604-0.039783,0.007915-0.010171,ninf-0.000008,ninf-0.000033,ninf-0,0.007773-0.008848,ninf-0.00002,0.003889-0.00649,ninf-0.000059,ninf-0.000033,0.143832-1,ninf-0.000026,0.00098-1,ninf-0.00002,0.001046-0.001451,0.021926-0.025974,ninf-0.000003,ninf-0.000041,ninf-0.000156,0.007681-0.010001,0.007682-0.011707,ninf-0.000018,ninf-0.000003,ninf-0.000004,101-182.5,2
0.008121-0.009047,ninf-0.000017,ninf-0.000029,0.002763-0.003249,0.005296-1,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.031068-0.034283,ninf-0.000001,0.002771-0.00349,ninf-0.000015,ninf-0.053928,ninf-0.000018,ninf-0.000009,ninf-0.000004,ninf-0.000011,0.006521-0.008955,ninf-0.000002,0.004392-1,0.06628-0.071344,0.004104-1,ninf-0.000002,0.013525-0.016534,ninf-0.000003,ninf-0.000011,ninf-0.000405,ninf-0.000003,0.00224-1,0.004876-1,ninf-0.000003,ninf-0.000001,0.013151-0.015069,ninf-0.000005,ninf-0.000004,0.005097-1,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,0.002739-0.003568,0.004841-1,ninf-0.000002,0.277944-0.285928,0.001314-0.004263,0.016505-0.021139,ninf-0.000012,0.002492-0.00342,0.009306-0.015281,0.004771-0.006235,ninf-0.000004,ninf-0.000006,ninf-0.000004,0.00153-1,ninf-0.000004,0.101596-0.115939,ninf-0.000002,ninf-0.000006,0.060382-0.071768,0.012774-0.014738,ninf-0.000008,0.002604-0.00301,ninf-0,0.007773-0.008848,ninf-0.00002,0.033022-1,0.002747-0.003986,ninf-0.000033,0.090544-0.100754,ninf-0.000026,ninf-0.000002,ninf-0.00002,0.008368-1,0.013091-0.017648,ninf-0.000003,0.002327-1,0.005342-0.007588,0.01512-0.017015,0.005407-0.006469,ninf-0.000018,ninf-0.000003,ninf-0.000004,44.5-101,3
ninf-0.001469,ninf-0.000017,ninf-0.000029,ninf-0.000075,ninf-0.000059,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.012599-0.017172,ninf-0.000001,ninf-0.000163,ninf-0.000015,0.100964-0.106917,ninf-0.000018,ninf-0.000009,ninf-0.000004,ninf-0.000011,ninf-0.001655,ninf-0.000002,ninf-0.000024,ninf-0.039312,0.004104-1,ninf-0.000002,0.007496-0.009209,ninf-0.000003,0.003074-0.010577,ninf-0.000405,ninf-0.000003,ninf-0.00003,ninf-0.000024,ninf-0.000003,ninf-0.000001,0.021592-0.026004,ninf-0.000005,ninf-0.000004,ninf-0.000059,ninf-0.000001,ninf-0.000004,ninf-0.000002,ninf-0.000003,ninf-0.00001,ninf-0.000037,ninf-0.000061,ninf-0.000002,ninf-0.231679,ninf-0.001314,0.03717-0.040081,ninf-0.000012,ninf-0.00003,0.015281-1,0.006235-1,ninf-0.000004,ninf-0.000006,ninf-0.000004,ninf-0.000005,ninf-0.000004,0.149165-1,ninf-0.000002,ninf-0.000006,0.031604-0.039783,0.020528-0.024917,ninf-0.000008,ninf-0.000033,ninf-0,ninf-0.002703,ninf-0.00002,0.033022-1,ninf-0.000059,ninf-0.000033,0.067929-0.08166,ninf-0.000026,ninf-0.000002,ninf-0.00002,0.008368-1,0.006671-0.010592,ninf-0.000003,ninf-0.000041,ninf-0.000156,0.003641-0.007681,ninf-0.000418,ninf-0.000018,ninf-0.000003,ninf-0.000004,44.5-101,2
0.001469-0.005604,0.000377-0.000659,0.000388-0.000598,0.002201-0.002763,0.000059-0.000842,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.040696-1,ninf-0.000001,0.00349-0.004471,0.0005-0.00065,0.06584-0.07328,0.000018-0.000302,0.00206-1,0.002378-0.004248,ninf-0.000011,0.001655-0.006521,ninf-0.000002,0.001999-0.002336,0.039312-0.051254,0.000391-0.000738,0.000002-0.000125,0.013525-0.016534,0.000003-0.000087,0.000011-0.000149,0.008359-0.010402,ninf-0.000003,0.001658-0.00224,0.002098-0.002417,ninf-0.000003,0.000216-0.000408,0.026004-1,0.000057-0.000088,0.000004-0.000053,0.000059-0.000767,ninf-0.000001,0.000004-0.000092,0.0002-0.00036,0.000232-0.000346,0.00073-0.000965,0.007084-0.010117,0.003282-0.003858,ninf-0.000002,0.327361-1,0.012911-0.015629,0.032278-0.03717,ninf-0.000012,0.002492-0.00342,0.00262-0.003706,0.001772-0.002313,0.000004-0.000092,ninf-0.000006,0.000207-0.000328,0.000005-0.000167,0.000004-0.000092,0.056406-0.065492,ninf-0.000002,0.000006-0.000068,0.039783-0.043308,0.024917-1,0.000211-0.000315,0.001393-0.001773,ninf-0,0.016621-0.021047,0.00002-0.000227,0.008623-0.01123,0.000533-0.000882,0.000033-0.000375,0.090544-0.100754,0.00113-0.001365,ninf-0.000002,0.000189-0.000325,0.000727-0.001046,0.010592-0.013091,0.000003-0.000055,0.002327-1,0.000978-0.001599,0.019731-0.023678,0.005407-0.006469,0.000018-0.00026,ninf-0.000003,ninf-0.000004,3348-6910,3
0.001469-0.005604,0.003509-1,0.000598-0.000758,0.002763-0.003249,0.003363-0.003913,ninf-0.000002,ninf-0.000001,ninf-0.000002,0.012599-0.017172,ninf-0.000001,0.000163-0.001924,ninf-0.000015,0.100964-0.106917,0.000706-0.000906,0.000559-0.000775,0.004248-0.007282,ninf-0.000011,0.006521-0.008955,ninf-0.000002,0.002928-0.004392,0.079078-0.086378,0.001059-0.001507,0.00076-0.001521,0.005893-0.007496,0.001014-1,ninf-0.000011,0.010402-0.012813,ninf-0.000003,0.000623-0.000798,0.004876-1,ninf-0.000003,ninf-0.000001,0.013151-0.015069,ninf-0.000005,ninf-0.000004,0.003174-0.00373,ninf-0.000001,ninf-0.000004,0.00468-1,ninf-0.000003,ninf-0.00001,0.001731-0.002739,0.004841-1,ninf-0.000002,0.294999-0.303452,0.001314-0.004263,0.028368-0.032278,ninf-0.000012,ninf-0.00003,0.00262-0.003706,0.001772-0.002313,0.000595-0.000833,ninf-0.000006,0.001047-0.002293,0.000956-0.00153,ninf-0.000004,0.074667-0.081394,ninf-0.000002,ninf-0.000006,0.051345-0.054657,0.014738-0.016945,ninf-0.000008,0.00301-1,ninf-0,0.014205-0.016621,ninf-0.00002,0.01123-0.013592,0.002747-0.003986,0.001617-0.002951,0.090544-0.100754,0.001365-0.001537,ninf-0.000002,0.001251-0.002446,0.002696-0.003619,0.032538-0.045905,0.000529-0.000794,0.001576-0.002327,0.00236-0.003036,0.013741-0.01512,0.003437-0.004235,0.000534-0.000743,ninf-0.000003,ninf-0.000004,182.5-396,3
0.009047-0.010605,0.000017-0.000377,0.000206-0.000388,0.002201-0.002763,0.003913-0.005296,0.000034-0.000057,ninf-0.000001,ninf-0.000002,0.027745-0.031068,0.000094-0.000377,0.00349-0.004471,0.000253-0.000339,0.093905-0.100964,0.000507-0.000706,0.00032-0.000559,0.000004-0.000309,ninf-0.000011,0.008955-0.010738,ninf-0.000002,0.001082-0.001335,0.051254-0.056238,0.001942-0.002328,0.000125-0.000198,0.011796-0.013525,0.000003-0.000087,0.001489-0.003074,0.00514-0.006334,ninf-0.000003,0.000798-0.000935,0.001082-0.001419,0.000003-0.000034,ninf-0.000001,0.017168-0.018747,0.000194-0.00026,ninf-0.000004,0.005097-1,ninf-0.000001,0.000004-0.000092,0.000087-0.0002,0.000232-0.000346,0.00001-0.00024,0.004564-0.005395,0.001456-0.001991,ninf-0.000002,0.303452-0.308398,0.008714-0.010209,0.040081-0.048113,0.000012-0.000027,0.000626-0.000852,0.006202-0.007466,0.00276-0.003389,0.000004-0.000092,0.000006-0.000012,0.000004-0.000141,0.000222-0.000323,0.000004-0.000092,0.091002-0.101596,ninf-0.000002,0.000006-0.000068,0.045978-0.0487,0.016945-0.018228,0.000371-0.00052,0.000933-0.001145,ninf-0,0.005952-0.007773,0.000227-0.000388,0.016054-0.022799,0.000882-0.001154,0.000502-0.000639,0.12952-0.143832,0.000324-0.000593,0.000218-0.000308,0.00002-0.000189,0.000727-0.001046,0.010592-0.013091,0.000003-0.000055,0.000256-0.000416,0.007588-0.010506,0.012088-0.013741,0.003437-0.004235,0.000411-0.000534,ninf-0.000003,ninf-0.000004,6910-27753,2
0.005604-0.008121,0.000659-0.000934,0.000598-0.000758,0.002763-0.003249,0.001963-0.002478,ninf-0.000002,0.000009-0.000013,ninf-0.000002,0.034283-0.040696,0.000053-0.000094,0.001924-0.002771,0.000253-0.000339,0.078307-0.083139,0.001574-0.001887,0.00206-1,0.000562-0.000945,ninf-0.000011,0.006521-0.008955,0.000045-0.00007,0.001999-0.002336,0.051254-0.056238,0.002328-0.002885,0.001521-1,0.011796-0.013525,0.000192-0.000258,0.001489-0.003074,0.012813-0.01514,ninf-0.000003,0.000336-0.000623,0.002098-0.002417,0.00016-0.000237,0.000008-0.000021,0.018747-0.021592,0.000122-0.00016,0.000211-0.000262,0.001945-0.002349,ninf-0.000001,0.000092-0.00016,0.000653-0.000922,0.00008-0.000141,0.000547-0.00073,0.002739-0.003568,0.003282-0.003858,0.00013-0.000344,0.316505-0.327361,0.004263-0.007212,0.040081-0.048113,ninf-0.000012,0.00113-0.00152,0.000317-0.00262,0.00276-0.003389,0.000004-0.000092,ninf-0.000006,0.001047-0.002293,0.000417-0.000492,0.000092-0.000178,ninf-0.038442,0.000002-0.000028,0.000156-0.000266,0.031604-0.039783,0.018228-0.020528,0.000008-0.000109,0.00301-1,ninf-0,0.021047-1,0.000661-0.000817,0.00649-0.008623,0.000533-0.000882,0.002951-1,0.143832-1,0.000848-0.00113,0.000024-0.000048,0.000631-0.000874,0.000727-0.001046,0.021926-0.025974,0.000181-0.000244,0.001576-0.002327,0.000156-0.000978,0.017015-0.019731,0.011707-1,0.001191-0.001534,0.000166-0.000252,0.000057-0.000087,6910-27753,3
